County,State,Adult Obesity (2018),Adult Smoking (2018),Limited Access To Healthy Foods (2018),Poverty Rate (2018)
Sonoma County, CA,0.202999994,0.111511037,0.040141329,0.101045423
Walsh County, ND,0.333000004,0.150375992,0.041798651,
Banner County, NE,0.342000008,0.148952931,0.445746303,
Stanislaus County, CA,0.300999999,0.126594558,0.048560835,0.155795091
Walla Walla County, WA,0.282000005,0.147713467,0.051239956,
Ward County, ND,0.307999998,0.177044615,0.115460299,0.118174905
Arthur County, NE,0.324999988,0.157910243,0.441176474,
Sutter County, CA,0.296999991,0.130712464,0.108225398,0.130545592
Wahkiakum County, WA,0.321999997,0.140142709,0.308099002,
Antelope County, NE,0.289000005,0.150292411,0.074757025,
Tehama County, CA,0.26699999,0.147413239,0.098929137,
Wells County, ND,0.328000009,0.144594029,0.086387567,
Adams County, NE,0.34799999,0.165925652,0.092913531,
Trinity County, CA,0.243000001,0.153349459,0.074108437,
Thurston County, WA,0.279000014,0.134873733,0.069904089,0.083966394
Williams County, ND,0.356999993,0.201193258,0.038874283,
Yellowstone County, MT,0.256999999,0.163664564,0.068875164,0.111596566
Tulare County, CA,0.333999991,0.157733917,0.079874672,0.22511173
Stevens County, WA,0.284999996,0.158140779,0.13521339,
Wibaux County, MT,0.270000011,0.159091666,0.377615064,
Tuolumne County, CA,0.221000001,0.122987315,0.102129228,
Adams County, OH,0.314999998,0.252898037,0.040487524,
Wheatland County, MT,0.263999999,0.16905731,0.456842005,
Ventura County, CA,0.207000002,0.106424667,0.03295901,0.088907763
Spokane County, WA,0.291999996,0.158687636,0.044138186,0.131427109
Allen County, OH,0.333999991,0.203499258,0.046435345,0.138984388
Valley County, MT,0.280999988,0.174352899,0.1468191,
Yolo County, CA,0.229000002,0.116836101,0.019282496,0.216037985
Snohomish County, WA,0.291000009,0.131652474,0.038916059,0.074924629
Treasure County, MT,0.261000007,0.17182453,0.417871237,
Yuba County, CA,0.280000001,0.148559764,0.120193325,0.176047857
Ashland County, OH,0.301999986,0.199860424,0.013640488,
Toole County, MT,0.241999999,0.188040346,0.117679968,
Adams County, CO,0.270999998,0.18069835,0.056262113,0.088145148
Skamania County, WA,0.291000009,0.143069491,0.011503629,
Ashtabula County, OH,0.347000003,0.216795191,0.104136229,0.178433454
Teton County, MT,0.247999996,0.153074458,0.12671873,
Alamosa County, CO,0.209000006,0.171374276,0.026244486,
Skagit County, WA,0.254000008,0.152713984,0.073923856,0.088013856
Sweet Grass County, MT,0.261999995,0.137367383,0.06558609,
Arapahoe County, CO,0.217999995,0.134473622,0.024007253,0.081183854
Athens County, OH,0.287999988,0.217892006,0.143328428,0.322549055
Stillwater County, MT,0.224999994,0.134570271,0.046278317,
Archuleta County, CO,0.180000007,0.139033616,0.106729813,
San Juan County, WA,0.203999996,0.117040768,0.000522453,
Auglaize County, OH,0.367000014,0.186714843,0.019010361,
Silver Bow County, MT,0.256999999,0.181087792,0.040863421,
Baca County, CO,0.211999997,0.157834902,0.08398331,
Pierce County, WA,0.305000007,0.146812007,0.083232507,0.084578932
Sheridan County, MT,0.307999998,0.146036297,0.11903698,
Bent County, CO,0.247999996,0.206645429,0.121015549,
Belmont County, OH,0.342000008,0.223109633,0.046153858,0.109120879
Sanders County, MT,0.261000007,0.173944235,0.218045458,
Boulder County, CO,0.137999997,0.109540053,0.030818909,0.098830275
Pend Oreille County, WA,0.298000008,0.157603309,0.14353247,
Brown County, OH,0.34799999,0.23720482,0.037017714,
Rosebud County, MT,0.338,0.214612976,0.097774439,
Broomfield County, CO,0.189999998,0.128365099,0.051980313,0.067888072
Pacific County, WA,0.319000006,0.148466051,0.134811565,
Roosevelt County, MT,0.344000012,0.277931631,0.305435628,
Chaffee County, CO,0.188999996,0.133383423,0.025231529,
Butler County, OH,0.340000004,0.201971173,0.06876453,0.126826604
Richland County, MT,0.307000011,0.168142155,0.093619063,
Cheyenne County, CO,0.241999999,0.135283068,0.098792925,
Okanogan County, WA,0.310000002,0.180270553,0.085728452,
Carroll County, OH,0.344000012,0.213529304,0.023616593,
Ravalli County, MT,0.246000007,0.166211531,0.01953426,
Clear Creek County, CO,0.188999996,0.123343639,0.023458863,
Mason County, WA,0.31099999,0.163294554,0.03303773,0.137077885
Prairie County, MT,0.270000011,0.151195928,0.373608917,
Conejos County, CO,0.234999999,0.170618355,0.02709426,
Champaign County, OH,0.333999991,0.193988591,0.005804661,
Powell County, MT,0.298999995,0.183432415,0.069149137,
Costilla County, CO,0.221000001,0.18782407,0.492315561,
Lincoln County, WA,0.328000009,0.148884892,0.17720443,
Clark County, OH,0.326000005,0.219789237,0.108060978,0.148431651
Powder River County, MT,0.257999986,0.156312048,0.179319441,
Crowley County, CO,0.224999994,0.220253408,0.048635993,
Lewis County, WA,0.342999995,0.168323591,0.083984889,0.110626613
Pondera County, MT,0.316000015,0.196736455,0.215955466,
Custer County, CO,0.221000001,0.146717951,0.06599009,
Clermont County, OH,0.317000002,0.206072435,0.090795808,0.077950663
Phillips County, MT,0.293000013,0.182628125,0.1076186,
Delta County, CO,0.231000006,0.164802045,0.034535024,
Klickitat County, WA,0.307999998,0.140686944,0.125897735,
Clinton County, OH,0.335000008,0.201950982,0.091403991,
Petroleum County, MT,0.256000012,0.16832374,0.395061731,
Denver County, CO,0.165999994,0.159284353,0.045293048,0.113356698
Kittitas County, WA,0.294999987,0.155774549,0.104961209,
Park County, MT,0.236000001,0.154552132,0.11031016,
Dolores County, CO,0.194999993,0.1670755,0.486645639,
Columbiana County, OH,0.34799999,0.216869235,0.076600902,0.149840012
Musselshell County, MT,0.284999996,0.183111846,0.111808345,
Douglas County, CO,0.174999997,0.095275022,0.017455362,0.023710156
Kitsap County, WA,0.294999987,0.12093126,0.074992612,0.090393709
Coshocton County, OH,0.333999991,0.196044907,0.073309317,
Missoula County, MT,0.226999998,0.176190495,0.066093706,0.126507117
Eagle County, CO,0.128000006,0.13296327,0.041579161,
King County, WA,0.216999993,0.093834549,0.027763421,0.0926633
Mineral County, MT,0.268999994,0.168940425,0.216182739,
Elbert County, CO,0.213,0.132090613,0.07458315,
Crawford County, OH,0.31400001,0.203986734,0.099367514,
Meagher County, MT,0.234999999,0.169635564,0.464140028,
El Paso County, CO,0.224999994,0.136775851,0.083768964,0.098586299
Jefferson County, WA,0.268000007,0.131241858,0.082521565,
Cuyahoga County, OH,0.298999995,0.206218362,0.042920377,0.176970473
Madison County, MT,0.221000001,0.142170563,0.097519346,
Fremont County, CO,0.234999999,0.170083642,0.113733388,
Island County, WA,0.270999998,0.124013379,0.077532552,0.068381142
McCone County, MT,0.217999995,0.151414737,0.10963051,
Garfield County, CO,0.194999993,0.130994007,0.047396228,
Darke County, OH,0.342999995,0.19793424,0.02389168,
Lincoln County, MT,0.264999986,0.166397065,0.064137615,
Gilpin County, CO,0.211999997,0.1435467,0,
Grays Harbor County, WA,0.349000007,0.169500709,0.118842617,0.172093417
Defiance County, OH,0.326999992,0.21155031,0.043044947,
Liberty County, MT,0.26699999,0.155075386,0.210780472,
Grand County, CO,0.169,0.144134775,0.003001205,
Grant County, WA,0.344000012,0.159443304,0.095578738,0.117037267
Lewis and Clark County, MT,0.252999991,0.154970333,0.06436231,0.111921525
Gunnison County, CO,0.152999997,0.155855253,0.038966116,
Delaware County, OH,0.273000002,0.13606976,0.031091617,0.040785723
Lake County, MT,0.287999988,0.191844493,0.026731458,
Hinsdale County, CO,0.199000001,0.139024422,0.032853752,
Garfield County, WA,0.326999992,0.138486102,0.37828216,
Erie County, OH,0.356999993,0.196903273,0.090899348,0.090280895
Judith Basin County, MT,0.291999996,0.145928249,0.218219712,
Huerfano County, CO,0.221000001,0.1456258,0.126640171,
Franklin County, WA,0.307000011,0.150569931,0.08416079,0.158075752
Jefferson County, MT,0.280999988,0.146920338,0.025494687,
Jackson County, CO,0.215000004,0.149709433,0.080565758,
Fairfield County, OH,0.321999997,0.190826461,0.054898418,0.099434168
Hill County, MT,0.349000007,0.20250845,0.187061533,
Jefferson County, CO,0.182999998,0.133023962,0.040354647,0.068533231
Ferry County, WA,0.282999992,0.183511868,0.2612198,
Fayette County, OH,0.351999998,0.222042009,0.013870586,
Granite County, MT,0.263000011,0.145265624,0.052606359,
Kiowa County, CO,0.209000006,0.144991428,0.425290227,
Douglas County, WA,0.305000007,0.134602472,0.170056969,
Golden Valley County, MT,0.252999991,0.156352475,0.422764242,
Kit Carson County, CO,0.273999989,0.14461638,0.04510121,
Franklin County, OH,0.293000013,0.192685157,0.074219219,0.154905358
Glacier County, MT,0.349000007,0.297920048,0.104658775,
Lake County, CO,0.193000004,0.153423473,0.078841448,
Cowlitz County, WA,0.319000006,0.17004472,0.086006954,0.111578282
Fulton County, OH,0.388000011,0.181588143,0.050753713,
Garfield County, MT,0.256999999,0.155609533,0.19645752,
La Plata County, CO,0.167999998,0.12939088,0.043927141,
Columbia County, WA,0.31400001,0.149927184,0.106630437,
Gallatin County, MT,0.156000003,0.145810843,0.03467017,0.091774788
Larimer County, CO,0.178000003,0.126074478,0.046515167,0.109367393
Gallia County, OH,0.312999994,0.226124421,0.052929524,
Flathead County, MT,0.216000006,0.168562219,0.043507405,0.108630263
Las Animas County, CO,0.231999993,0.150513217,0.154172167,
Clark County, WA,0.284999996,0.142517641,0.04619002,0.086917104
Geauga County, OH,0.298999995,0.157343194,0.032519497,0.051127966
Fergus County, MT,0.259000003,0.158652589,0.109397665,
Lincoln County, CO,0.237000003,0.155750528,0.095222525,
Clallam County, WA,0.254000008,0.135460556,0.088361248,0.133654608
Fallon County, MT,0.270000011,0.140285432,0.069467403,
Logan County, CO,0.289000005,0.15638034,0.066747159,
Greene County, OH,0.321999997,0.17765218,0.084473096,0.127188443
Deer Lodge County, MT,0.246999994,0.194713399,0.029523162,
Mesa County, CO,0.223000005,0.171976194,0.095351033,0.165589107
Chelan County, WA,0.26699999,0.140137762,0.060437985,0.098095826
Guernsey County, OH,0.360000014,0.206822202,0.061206546,
Dawson County, MT,0.270999998,0.1562953,0.086005144,
Mineral County, CO,0.188999996,0.133130163,0.039626017,
Benton County, WA,0.294999987,0.134168282,0.044179093,0.094228569
Daniels County, MT,0.259000003,0.12730062,0.060242444,
Moffat County, CO,0.250999987,0.155294552,0.083146669,
Hamilton County, OH,0.289000005,0.182308614,0.086414099,0.153504625
Custer County, MT,0.307999998,0.174413532,0.195844263,
Montezuma County, CO,0.223000005,0.173436925,0.074335717,
Asotin County, WA,0.331,0.1614687,0.057153177,
Hancock County, OH,0.317999989,0.19587177,0.059617933,0.111405907
Chouteau County, MT,0.282999992,0.206942827,0.348038405,
Montrose County, CO,0.200000003,0.139672428,0.10191974,
Adams County, WA,0.363999993,0.155956894,0.07462801,
Cascade County, MT,0.273000002,0.183949187,0.093986593,0.137441294
Morgan County, CO,0.275000006,0.162550032,0.044384453,
Hardin County, OH,0.375,0.231867284,0.038336702,
Carter County, MT,0.261000007,0.139045432,0.376070946,
Otero County, CO,0.277999997,0.178525686,0.149102792,
Winchester city, VA,0.286000013,0.175621316,0.030535737,
Harrison County, OH,0.354999989,0.207900926,0.010105263,
Carbon County, MT,0.252999991,0.141156226,0.102916487,
Ouray County, CO,0.184,0.126318455,0.017289085,
Williamsburg city, VA,0.263999999,0.161079049,0.039533883,
Broadwater County, MT,0.300000012,0.155772835,0.072895527,
Park County, CO,0.193000004,0.146219671,0.135634363,
Henry County, OH,0.296999991,0.171175629,0.042996913,
Blaine County, MT,0.365999997,0.26386869,0.196590379,
Phillips County, CO,0.25,0.134612307,0.016937664,
Waynesboro city, VA,0.301999986,0.168085024,0.035635058,
Highland County, OH,0.312000006,0.219057515,0.024458034,
Big Horn County, MT,0.379000008,0.256872892,0.25326404,
Pitkin County, CO,0.153999999,0.12700586,0.0171817,
Virginia Beach city, VA,0.291999996,0.149951652,0.026147008,0.068882658
Beaverhead County, MT,0.247999996,0.156919137,0.092726417,
Prowers County, CO,0.272000015,0.16541855,0.126342699,
Hocking County, OH,0.402999997,0.213497043,0.078619368,
St. Louis city, MO,0.326000005,0.246863082,0.033289369,0.221112066
Pueblo County, CO,0.270999998,0.171370625,0.160404518,0.173319797
Suffolk city, VA,0.331,0.156447053,0.057307404,0.098994031
Holmes County, OH,0.328000009,0.207278565,0.009256489,
Wright County, MO,0.319999993,0.25756672,0.06059679,
Rio Blanco County, CO,0.238000005,0.140871406,0.023336727,
Staunton city, VA,0.268000007,0.170189038,0.015092314,
Worth County, MO,0.30399999,0.202933744,0.039582945,
Rio Grande County, CO,0.226999998,0.136984363,0.053681932,
Huron County, OH,0.312000006,0.196678922,0.040045943,
Webster County, MO,0.335000008,0.233586147,0.03721429,
Routt County, CO,0.136000007,0.124132894,0.053101406,
Salem city, VA,0.264999986,0.150473297,0.115886986,
Jackson County, OH,0.374000013,0.235183701,0.024888825,
Wayne County, MO,0.340999991,0.244448468,0.168687105,
Saguache County, CO,0.216000006,0.181137964,0.095592648,
Roanoke city, VA,0.317999989,0.188843727,0.077462494,0.203848577
Washington County, MO,0.324999988,0.251252413,0.091474339,
San Juan County, CO,0.202999994,0.15562056,0.411865264,
Jefferson County, OH,0.361000001,0.214185387,0.097900465,0.199659564
Warren County, MO,0.300000012,0.192068934,0.02109745,
San Miguel County, CO,0.182999998,0.14799194,0.019480938,
Richmond city, VA,0.298999995,0.205307305,0.078346007,0.218519127
Knox County, OH,0.268000007,0.2008394,0.05066048,
Vernon County, MO,0.342000008,0.221177578,0.146210492,
Sedgwick County, CO,0.214000002,0.149211779,0.049324632,
Radford city, VA,0.289000005,0.23251988,0.071328297,
Texas County, MO,0.331999987,0.242880315,0.058269959,
Summit County, CO,0.149000004,0.148798078,0.065519519,
Lake County, OH,0.287999988,0.176261514,0.075676136,0.069355427
Taney County, MO,0.310000002,0.214412108,0.156632066,
Teller County, CO,0.216000006,0.135140002,0.017797099,
Portsmouth city, VA,0.365999997,0.209654078,0.039387483,0.194884247
Lawrence County, OH,0.375999987,0.231141642,0.054187559,
Sullivan County, MO,0.347000003,0.212545887,0.119597845,
Washington County, CO,0.232999995,0.137179986,0.163362816,
Poquoson city, VA,0.264999986,0.130871773,0.050151184,
Stone County, MO,0.335999995,0.186721757,0.005473804,
Weld County, CO,0.263999999,0.155207425,0.048983466,0.108463598
Licking County, OH,0.32100001,0.209279716,0.05932086,0.08559328
Stoddard County, MO,0.345999986,0.236263394,0.023263717,
Yuma County, CO,0.256999999,0.150040314,0.067939647,
Petersburg city, VA,0.453000009,0.216202348,0.205362707,
Logan County, OH,0.351999998,0.195120111,0.029905038,
Shelby County, MO,0.352999985,0.205085069,0.194566324,
Fairfield County, CT,0.214000002,0.104462922,0.032083191,0.101762477
Norton city, VA,0.280999988,0.202333823,0.021897834,
Shannon County, MO,0.333999991,0.235831544,0.074408442,
Hartford County, CT,0.263000011,0.125868767,0.040199667,0.111249434
Lorain County, OH,0.30399999,0.198730901,0.078758381,0.145606265
Scott County, MO,0.349999994,0.230188608,0.115817152,
Litchfield County, CT,0.25,0.120730989,0.027977826,0.067921275
Norfolk city, VA,0.307000011,0.199076548,0.082796603,0.178448782
Lucas County, OH,0.333999991,0.211149961,0.054772932,0.186112285
Scotland County, MO,0.324999988,0.218378738,0.038198136,
Middlesex County, CT,0.240999997,0.113387555,0.048816998,0.065827052
Newport News city, VA,0.314999998,0.179088682,0.063226797,0.144014004
Schuyler County, MO,0.328000009,0.241866142,0.372162342,
New Haven County, CT,0.270000011,0.136489019,0.045426641,0.115836852
Madison County, OH,0.294999987,0.204583138,0.092476115,
Saline County, MO,0.349999994,0.225716218,0.115167663,
New London County, CT,0.287,0.132564649,0.071485087,0.100749121
Martinsville city, VA,0.331999987,0.198716164,0.101226948,
Mahoning County, OH,0.298000008,0.221143886,0.108205453,0.161204777
St. Louis County, MO,0.291999996,0.183921278,0.060001634,0.105802551
Tolland County, CT,0.238999993,0.123443253,0.080116853,0.084668108
Manassas Park city, VA,0.300999999,0.161579683,0.109776072,
St. Francois County, MO,0.335999995,0.240333185,0.051309291,0.205682854
Windham County, CT,0.291999996,0.164167374,0.046261452,0.12633049
Marion County, OH,0.393000007,0.247910038,0.177869081,0.174539122
Ste. Genevieve County, MO,0.328999996,0.197874516,0.074489206,
Kent County, DE,0.335999995,0.181706399,0.04461135,0.147960397
Manassas city, VA,0.300000012,0.150016725,0.009667252,
Medina County, OH,0.316000015,0.173390597,0.041724004,0.067751503
St. Clair County, MO,0.31400001,0.213063642,0.045840722,
New Castle County, DE,0.291999996,0.167724907,0.047501028,0.11702308
Lynchburg city, VA,0.289999992,0.18037802,0.0864866,0.210700389
St. Charles County, MO,0.259000003,0.168088824,0.054136001,0.057896701
Sussex County, DE,0.316000015,0.17561391,0.04644075,0.125060355
Meigs County, OH,0.324000001,0.226737335,0.072914861,
Ripley County, MO,0.358999997,0.261492997,0.108785495,
District of Columbia, DC,0.228,0.166860059,0.007858984,0.161509706
Lexington city, VA,0.25999999,0.169318989,0.011813413,
Mercer County, OH,0.307999998,0.161882073,0.008826782,
Reynolds County, MO,0.333999991,0.230870232,0.205184892,
Alachua County, FL,0.257999986,0.148948163,0.064279616,0.202053117
Hopewell city, VA,0.287,0.19577536,0.128959611,
Ray County, MO,0.379999995,0.203812286,0.06640783,
Baker County, FL,0.344000012,0.194036856,0.129605919,
Miami County, OH,0.335999995,0.188588932,0.03386239,0.068877672
Randolph County, MO,0.377000004,0.212669775,0.06072136,
Bay County, FL,0.300999999,0.180388317,0.105828092,0.12586508
Harrisonburg city, VA,0.254000008,0.20444417,0.011065615,
Monroe County, OH,0.370000005,0.210144311,0.019176118,
Ralls County, MO,0.31400001,0.184727147,0.022047188,
Bradford County, FL,0.356000006,0.215474516,0.022470219,
Hampton city, VA,0.372999996,0.172629014,0.103140146,0.154415346
Putnam County, MO,0.312999994,0.219665676,0.12203104,
Brevard County, FL,0.268999994,0.171240017,0.123128362,0.105877728
Montgomery County, OH,0.340000004,0.211812362,0.095690891,0.17108862
Pulaski County, MO,0.303000003,0.216145009,0.133276284,
Broward County, FL,0.246000007,0.141950577,0.02476416,0.124413146
Galax city, VA,0.25999999,0.19860439,0.011883732,
Morgan County, OH,0.345999986,0.220906958,0.029441593,
Polk County, MO,0.344000012,0.214262292,0.025071533,
Calhoun County, FL,0.388999999,0.199809164,0.089572683,
Fredericksburg city, VA,0.296999991,0.180735365,0.019591477,
Platte County, MO,0.344000012,0.184875846,0.065056078,0.054342306
Charlotte County, FL,0.261000007,0.164498433,0.14130415,0.109109755
Morrow County, OH,0.374000013,0.196407631,0.001617073,
Pike County, MO,0.312000006,0.226572856,0.098561205,
Citrus County, FL,0.270999998,0.184434354,0.128857076,0.151505357
Franklin city, VA,0.352999985,0.188795567,0.284045011,
Muskingum County, OH,0.326000005,0.217085898,0.102438495,0.175473484
Phelps County, MO,0.296000004,0.213113621,0.06667643,
Clay County, FL,0.291000009,0.178255424,0.068756737,0.089385135
Falls Church city, VA,0.280999988,0.128371283,,
Pettis County, MO,0.354999989,0.22622861,0.064857662,
Collier County, FL,0.202999994,0.11112421,0.094764262,0.10628911
Noble County, OH,0.326000005,0.178526029,0.133058131,
Perry County, MO,0.363000005,0.195700943,0.044219535,
Columbia County, FL,0.358999997,0.220678613,0.071913794,0.148274705
Fairfax city, VA,0.217999995,0.115093589,0.001566505,
Ottawa County, OH,0.305000007,0.186437428,0.069127783,
Pemiscot County, MO,0.354999989,0.273784816,0.037435494,
DeSoto County, FL,0.368000001,0.202322289,0.057895064,
Emporia city, VA,0.307000011,0.238270432,0.00595535,
Ozark County, MO,0.324000001,0.235834807,0.277357787,
Dixie County, FL,0.30399999,0.247456908,0.035756215,
Paulding County, OH,0.307000011,0.20314607,0.055395577,
Osage County, MO,0.326000005,0.178940371,0.032326061,
Duval County, FL,0.305000007,0.181628332,0.08630874,0.145114013
Danville city, VA,0.352999985,0.198262066,0.057952274,
Perry County, OH,0.342999995,0.216000676,0.023496147,
Oregon County, MO,0.312000006,0.236895382,0.099258266,
Escambia County, FL,0.289999992,0.16705218,0.119902506,0.13940573
Covington city, VA,0.275999993,0.182399154,0.098008223,
Nodaway County, MO,0.328999996,0.217889726,0.241559595,
Flagler County, FL,0.240999997,0.155408323,0.127292946,0.107392036
Pickaway County, OH,0.324000001,0.206289008,0.020087732,
Newton County, MO,0.35800001,0.210691109,0.053382009,
Franklin County, FL,0.331,0.181608766,0.010101498,
Colonial Heights city, VA,0.257999986,0.160885423,0.029647054,
Pike County, OH,0.349000007,0.238968194,0.070011362,
New Madrid County, MO,0.35800001,0.266978025,0.01715195,
Gadsden County, FL,0.356999993,0.172489136,0.055838156,
Chesapeake city, VA,0.326999992,0.141874537,0.049172249,0.077973214
Morgan County, MO,0.307000011,0.234914914,0.015050559,
Gilchrist County, FL,0.316000015,0.214915812,0.002694309,
Portage County, OH,0.298000008,0.204292715,0.078300297,0.11163049
Montgomery County, MO,0.342999995,0.22026594,0.034439314,
Glades County, FL,0.331,0.205019549,0.310960799,
Charlottesville city, VA,0.26699999,0.189504251,0.032376382,
Preble County, OH,0.301999986,0.202109545,0.002315357,
Monroe County, MO,0.319999993,0.205834687,0.057742365,
Gulf County, FL,0.31400001,0.183073938,0.066778794,
Buena Vista city, VA,0.257999986,0.21501638,0.526666522,
Moniteau County, MO,0.338,0.196114361,0.015356424,
Hamilton County, FL,0.335999995,0.229892641,0.108139336,
Putnam County, OH,0.337000012,0.162542567,0.038451951,
Mississippi County, MO,0.351999998,0.289990783,0.002142539,
Hardee County, FL,0.347000003,0.187894985,0.220564738,
Bristol city, VA,0.291999996,0.194883525,0.151042521,
Richland County, OH,0.31099999,0.21683839,0.11397393,0.138765631
Miller County, MO,0.317999989,0.210991785,0.023739157,
Hendry County, FL,0.347000003,0.152581587,0.150037289,
Alexandria city, VA,0.216000006,0.137183413,,0.108648174
Mercer County, MO,0.319999993,0.202819049,0.444436729,
Hernando County, FL,0.310000002,0.170873046,0.143119633,0.14321307
Ross County, OH,0.35800001,0.233843863,0.057650413,0.205506309
Marion County, MO,0.381000012,0.220579222,0.053544231,
Highlands County, FL,0.31099999,0.168765619,0.141906783,0.224015767
York County, VA,0.268000007,0.130827501,0.042759541,0.060079302
Sandusky County, OH,0.328000009,0.18938081,0.034031283,
Maries County, MO,0.356999993,0.213119298,0.02066531,
Hillsborough County, FL,0.273000002,0.165531516,0.074627273,0.147589338
Wythe County, VA,0.30399999,0.172154859,0.017350975,
Madison County, MO,0.356000006,0.226459727,0.0679546,
Holmes County, FL,0.31400001,0.213540986,0.088925198,
Scioto County, OH,0.395000011,0.219442233,0.073113449,0.229464979
Macon County, MO,0.354000002,0.197062537,0.074296527,
Indian River County, FL,0.248999998,0.157081485,0.135960728,0.096903244
Wise County, VA,0.312000006,0.206707627,0.036872055,
Seneca County, OH,0.340000004,0.200332955,0.052235737,
McDonald County, MO,0.279000014,0.262374997,0.034919806,
Jackson County, FL,0.345999986,0.244486257,0.024806462,
Westmoreland County, VA,0.321999997,0.171727464,0.020590149,
Livingston County, MO,0.296999991,0.198509648,0.039308462,
Jefferson County, FL,0.324000001,0.160753161,0.071940318,
Shelby County, OH,0.319000006,0.178162515,0.056887425,
Linn County, MO,0.338,0.206968382,0.106866121,
Lafayette County, FL,0.351999998,0.221321389,0.03158788,
Washington County, VA,0.298999995,0.171954721,0.033954915,
Stark County, OH,0.308999985,0.199729681,0.080756173,0.146383646
Lincoln County, MO,0.328000009,0.215574086,0.025110645,
Lake County, FL,0.280999988,0.168966383,0.107923694,0.116132598
Warren County, VA,0.282999992,0.17233409,0.031223839,
Lewis County, MO,0.344000012,0.20850271,0.168946519,
Lee County, FL,0.245000005,0.140108943,0.096593305,0.122355387
Summit County, OH,0.312000006,0.195253611,0.077062301,0.116966499
Lawrence County, MO,0.333999991,0.219531834,0.048122268,
Leon County, FL,0.273000002,0.1431005,0.083841242,0.213610958
Tazewell County, VA,0.321999997,0.178624347,0.083706379,
Trumbull County, OH,0.328999996,0.21788308,0.079155117,0.184817111
Lafayette County, MO,0.317000002,0.197130352,0.048182767,
Levy County, FL,0.330000013,0.221638665,0.036382735,
Sussex County, VA,0.368000001,0.19699131,0.184381962,
Laclede County, MO,0.317000002,0.242535338,0.094641507,
Liberty County, FL,0.395999998,0.2135012,0.08643727,
Tuscarawas County, OH,0.328000009,0.21384418,0.070069283,0.132194751
Knox County, MO,0.321999997,0.204391107,0.086025,
Madison County, FL,0.335000008,0.194675386,0.09562701,
Surry County, VA,0.345999986,0.1684407,0.103212744,
Union County, OH,0.331999987,0.17908287,0.05239293,
Johnson County, MO,0.333999991,0.2080663,0.060610294,
Manatee County, FL,0.264999986,0.161150321,0.063701615,0.099992826
Stafford County, VA,0.287999988,0.142336339,0.034312595,0.050438567
Jefferson County, MO,0.317000002,0.231534168,0.083550856,0.084642143
Marion County, FL,0.300999999,0.177879795,0.104200214,0.148875857
Van Wert County, OH,0.372999996,0.183879599,0.05615174,
Jasper County, MO,0.354000002,0.216737226,0.106058665,0.174089035
Martin County, FL,0.200000003,0.132561445,0.082637034,0.105431209
Spotsylvania County, VA,0.316000015,0.168816939,0.041044831,0.079305859
Vinton County, OH,0.321999997,0.222428069,0.237570539,
Jackson County, MO,0.328000009,0.204527348,0.072677083,0.129277854
Miami-Dade County, FL,0.211999997,0.135136217,0.017469898,0.159601638
Southampton County, VA,0.31099999,0.177895546,0.137968302,
Iron County, MO,0.342000008,0.21771194,0.112290613,
Monroe County, FL,0.228,0.159824133,0.08278773,0.125363007
Warren County, OH,0.310000002,0.156416953,0.054061536,0.050491166
Howell County, MO,0.328999996,0.231690466,0.105119444,
Nassau County, FL,0.289000005,0.158547655,0.074277841,0.124322803
Smyth County, VA,0.296999991,0.18621622,0.062040463,
Washington County, OH,0.351000011,0.191902757,0.035303939,
Howard County, MO,0.333000004,0.213146225,0.068835214,
Okaloosa County, FL,0.254999995,0.173543468,0.101524465,0.141416601
Shenandoah County, VA,0.298000008,0.163987577,0.029058045,
Holt County, MO,0.328999996,0.208010003,0.371497124,
Okeechobee County, FL,0.291999996,0.214661419,0.287711024,
Wayne County, OH,0.296000004,0.186470538,0.050361238,0.082121949
Hickory County, MO,0.321999997,0.215988815,0.06872534,
Orange County, FL,0.239999995,0.145469531,0.068793632,0.159667545
Scott County, VA,0.308999985,0.176709309,0.039768379,
Williams County, OH,0.360000014,0.20460701,0.074352428,
Henry County, MO,0.316000015,0.220434442,0.137833849,
Osceola County, FL,0.286000013,0.163911983,0.101779498,0.134889981
Russell County, VA,0.303000003,0.185215831,0.023457687,
Harrison County, MO,0.337000012,0.23228237,0.136777669,
Palm Beach County, FL,0.222000003,0.133660883,0.046543736,0.122403443
Wood County, OH,0.317000002,0.171114743,0.101788983,0.127939793
Grundy County, MO,0.330000013,0.206639081,0.130151942,
Pasco County, FL,0.32100001,0.207305282,0.082592756,0.127314041
Rockingham County, VA,0.252000004,0.15507713,0.060818717,0.082297277
Wyandot County, OH,0.342000008,0.200199455,0.019385548,
Greene County, MO,0.347000003,0.222415969,0.065587655,0.159653717
Pinellas County, FL,0.256000012,0.174458757,0.03936569,0.115836699
Rockbridge County, VA,0.240999997,0.155019119,0.053939849,
Gentry County, MO,0.284999996,0.193969563,0.011819129,
Polk County, FL,0.344000012,0.16927357,0.128134534,0.157530807
Adair County, OK,0.419,0.265217364,0.038033213,
Gasconade County, MO,0.347000003,0.193571657,0.009673956,
Putnam County, FL,0.379000008,0.248918235,0.133103222,0.150577513
Roanoke County, VA,0.270000011,0.151007071,0.033287104,0.055825956
Alfalfa County, OK,0.358999997,0.172050402,0.210741371,
Franklin County, MO,0.30399999,0.204338938,0.039060269,0.082968408
St. Johns County, FL,0.224000007,0.134096459,0.065713733,0.063959226
Richmond County, VA,0.284999996,0.195789233,0.019910682,
